"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"NLD","Netherlands",,,,,2.3768,2.4427,2.5193,10.5497,10.7562,10.9053,11.0055,11.0762,11.1544,11.3414,2.9057,2.9516,3.1243,3.2463,3.3058,13.9489,14.2406,14.4749,14.8732,15.1917,,
"NZL","New Zealand",2,2,2.2,2.2,2.2,2.2324,2.1728,11.4781,11.2558,11.6236,11.8119,11.6584,12.0657,12.7376,12.824,13.1874,13.2496,13.1328,15.0358,14.6776,15.0207,15.2804,15.6503,14.5626,,
"NIC","Nicaragua",0.82,,0.856,,,,,,1.4941,,1.6569,1.6502,1.7089,1.9402,2.006,1.9925,2.1794,2.23,2.2578,2.2495,2.2979,2.4198,2.5419,1.6645,,
"NER","Niger",,0.024,0.035,0.033,,,,0.033,,0.2373,,,,0.1576,0.2316,,,0.0535,0.274,0.3338,0.251,0.3128,,0.2234,,
"NGA","Nigeria",,,,,,0.269,,,1.8592,,1.8193,1.8515,1.8777,1.8731,0.3782,,,,1.4086,,,2.2045,,1.3064,1.5007,
"NOR","Norway",,,,0.5288,,3.3738,3.5325,15.8614,16.5014,17.1465,17.7168,18.1556,18.2922,18.5001,20.5026,20.7826,21.1454,21.3214,21.5178,21.8504,22.2562,21.9295,22.2428,22.9921,23.2343,
"OMN","Oman",3.862,,3.4284,3.7586,3.8192,4.8884,,,,5.1593,5.3594,5.4999,5.7587,5.9712,6.1417,6.1574,6.3258,6.4843,6.535,6.815,6.6189,6.3364,6.2303,6.1996,6.0151,
"PAK","Pakistan",0.9063,0.9476,0.984,1.0214,1.0495,1.067,1.089,,,1.2004,0.7882,,0.7619,1.3103,1.3394,1.3671,0.8311,0.859,1.405,0.8972,0.9262,0.962,1.5991,0.9801,1.6011,
"PLW","Palau",,,,7.5543,,,,,,6.0302,,7.3846,,,7.7049,8.2222,,,,7.7273,,,,7.2626,,
"PAN","Panama",2.2109,2.2834,2.3081,2.2868,2.3748,,3.0852,3.251,3.5387,3.3125,3.3521,3.352,1.3032,1.3808,1.3092,3.8823,3.8122,1.5979,4.5127,2.9495,4.3379,4.5562,4.6725,4.6796,4.8379,
"PNG","Papua New Guinea",,,,0.073,,0.5328,,,,,,,,0.4554,,0.5497,,,,,,,,0.6129,0.519,
"PRY","Paraguay",0.73,,1.098,,,1.17,,1.1488,,,,,,,,,,1.2774,0.5654,0.6143,0.6666,0.7038,0.7387,1.3544,,
"PER","Peru",0.98,,0.932,,1.7987,,,,,,,,5.2518,,2.2556,,,2.667,2.2121,2.0824,2.0661,3.4809,2.213,3.7972,,
"PHL","Philippines",,1.23,1.24,,,5.535,5.5182,5.3782,5.4622,5.3466,5.5041,5.6409,5.8977,6.3779,6.9102,1.2717,,,,,,,5.8748,4.9351,5.4439,
"POL","Poland",8.4627,8.5892,8.6429,8.4961,7.9693,7.6941,7.6575,7.6829,7.6844,7.7528,7.7357,7.7797,7.8957,7.8884,7.9652,7.9987,8.0389,2.2242,8.0891,8.1188,8.1054,8.1721,8.0817,6.8926,,
"PRT","Portugal",2.9118,2.9878,3.0301,3.0889,3.1149,3.2026,3.2618,7.3242,7.554,7.7931,8.0824,8.3986,8.763,9.0928,9.4685,9.8677,10.2182,10.4495,10.6769,10.9244,11.2811,4.9397,12.0811,12.2104,,
"QAT","Qatar",,1.26,1.26,,,,7.153,,,,8.1234,8.3094,,9.0749,7.6869,9.4457,,,,7.3349,,7.6492,6.0429,9.6822,,
